Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
BEML,601.70,3.92,1304637,601.70,0.00,5254,0
Berger Paints,531.20,2.21,855039,531.20,0.00,721,0
Bharat Dynamics,216.00,-0.37,18230,216.00,0.00,568,0
Bharat Elec,73.65,-1.21,7248704,73.65,0.00,1961,0
Bharat Forge,271.20,3.02,2874070,0.00,271.20,0,892
Bharat Rasayan,"6,520.55",3.03,2973,0.00,0.00,0,0
Bharti Airtel,494.05,-0.04,9888710,0.00,494.05,0,10350
Bharti Infratel,157.40,3.55,7030396,0.00,157.40,0,2303
BHEL,20.65,0.00,16354184,0.00,20.65,0,42493
Biocon,363.15,1.61,7967136,363.15,0.00,962,0
Birla Corp,404.95,-1.65,127646,404.95,0.00,75,0
Blue Dart,"2,079.40",-0.12,4065,0.00,0.00,0,0
Blue Star,546.45,-2.43,77264,0.00,546.45,0,221
Bombay Burmah,952.50,4.40,145405,0.00,952.50,0,851
Bombay Dyeing,52.20,0.77,895338,0.00,52.20,0,17186
Bosch,"10,114.70",-0.96,29015,10114.70,0.00,17,0
BPCL,355.40,1.41,4951298,355.40,0.00,3,0
Brigade Ent,118.60,-1.21,105561,0.00,118.60,0,294
Britannia,"3,242.05",5.87,1993378,3242.05,0.00,1260,0
BSE Limited,364.80,1.60,74821,0.00,0.00,0,0
Cadila Health,333.85,-0.92,9372941,333.85,0.00,1742,0
Can Fin Homes,289.85,-0.80,263749,0.00,289.85,0,102
Canara Bank,81.45,0.12,6953759,0.00,81.45,0,12607
